,cat_num,cat_name,Question,optA,optB,optC,optD,optE,correct
0,3.2,Preposition,Find the error. (Preposition),Despite of our,good contacts we,could not get,tickets for our friends.,No error,A
1,3.2,Preposition,Find the error. (Preposition),Whether it is,Bhojpuri or Maithili I,am with home,with both the languages.,No error,C
2,3.2,Preposition,Find the error. (Preposition),His only,fame to claim is,that he is,the son of a rich man.,No error,B
3,3.2,Preposition,Find the error. (Preposition),Rakesh along with,his friends was,invited for the,party in Ashoka Hall.,No error,C
4,3.2,Preposition,Find the error. (Preposition),In the last week,I told Sainky to come,in time but he still,comes late every day.,No error,A
5,3.2,Preposition,Find the error. (Preposition),The great actor was,angry with the treatment,during the party,in Navneet Hall.,No error,B
6,3.2,Preposition,Find the error. (Preposition),"Don’t go by his appearance,",he is capable at,doing any work,without any hesitation.,No error,B
7,3.2,Preposition,Find the error. (Preposition),The teacher pointed out the,students that they might,learn something from Kalidas because,Kalidas was the Shakespeare of India.,No error,A
8,3.2,Preposition,Find the error. (Preposition),Despite of my,old age I am,ready to undertake,any challenging job.,No error,A
9,3.2,Preposition,Find the error. (Preposition),The message has been,repeated several times,on the radio,since four days.,No error,D
10,3.2,Preposition,Find the error. (Preposition),There can,hardly be,objectively in measure,of human behaviour.,No error,C
11,3.2,Preposition,Find the error. (Preposition),The consequence of,the action was,not fully realised to,the authorities.,No error,C
12,3.2,Preposition,Find the error. (Preposition),I am pleased to sanction,one special increment,to all employees,with this month.,No error,D
13,3.2,Preposition,Find the error. (Preposition),I will put on,a note in this regard,for your consideration,and necessary decision.,No error,A
14,3.2,Preposition,Find the error. (Preposition),Soni intends,to leave,the city,with bag and baggage.,No error,D
15,3.2,Preposition,Find the error. (Preposition),The book you have,in your hand is,different than,that on the table.,No error,C
16,3.2,Preposition,Find the error. (Preposition),Jamuna takes delight,with music and,hopes to become,a successful musician.,No error,B
17,3.2,Preposition,Find the error. (Preposition),Coming events in the village,include a flower show,and a treat,to the school children.,No error,D
18,3.2,Preposition,Find the error. (Preposition),I have,an appointment,on the 5th of September,on 8 O’clock.,No error,D
19,3.2,Preposition,Find the error. (Preposition),If you listen with,the questions carefully,you will be able to answer,them easily. ,No error,A
20,3.2,Preposition,Find the error. (Preposition),We saw a man,from the mist,but we could not,see who he was.,No error,B
21,3.2,Preposition,Find the error. (Preposition),I have searched,all relevant books,into the library,before writing this note.,No error,C
22,3.2,Preposition,Find the error. (Preposition),After much thought,the boys devised,a clever plan in escaping,from the cave. ,No error,C
23,3.2,Preposition,Find the error. (Preposition),Every animal in the zoo,is fed regularly,and attended to,very promptly.,No error,C
24,3.2,Preposition,Find the error. (Preposition),The policeman started,firing the crowd,when the striking,workers became violent.,No error,B
25,3.2,Preposition,Find the error. (Preposition),Unless you take,interest into the studies,you will not succeed,in the examination.,No error,B
26,3.2,Preposition,Find the error. (Preposition),From over last five years,I have been trying,my best to convince him,but without success.,No error,A
27,3.2,Preposition,Find the error. (Preposition),We have observed that,many good programmes,suffer of shortage,of funds and other resources.,No error,C
28,3.2,Preposition,Find the error. (Preposition),You deserve to be,rewarded by your successful,completion of the entire work,in such a short time.,No error,B
29,3.2,Preposition,Find the error. (Preposition),Despite of all preparations,our programmes could not succeed,and we had,to bear loss. ,No error,A
30,3.2,Preposition,Find the error. (Preposition),Sainky who was,junior in most,other employees in his office,has been promoted.,No error,B
31,3.2,Preposition,Find the error. (Preposition),From the last one month,each of us,has been working,on the same project.,No error,A
32,3.2,Preposition,Find the error. (Preposition),"When we reached there,",we saw a crowd,of about ten people,fighting between themselves.,No error,D
33,3.2,Preposition,Find the error. (Preposition),A committee comprising,of eminent members,from various technical institutions,was set up.,No error,B
34,3.2,Preposition,Find the error. (Preposition),Ambedkar’s life,was a saga of dedication,in the cause of,social reforms in India.,No error,C
35,3.2,Preposition,Find the error. (Preposition),Had I been,at your place,I would not have,approved of the proposal.,No error,B
36,3.2,Preposition,Find the error. (Preposition),Broadly in a laymans’ language,disability can be,classified by two groups,namely mental and physical.,No error,C
37,3.2,Preposition,Find the error. (Preposition),The issue were,so critical that they,could not hardly be resolved,upon such a limited time.,No error,D
38,3.2,Preposition,Find the error. (Preposition),Ram is a very good painter,but his paintings,are not easily,accessible with the public.,No error,D
39,3.2,Preposition,Find the error. (Preposition),He assured me,that he should abide with,my decision in,all circumstances.,No error,B
40,3.2,Preposition,Find the error. (Preposition),The author has explained,how the book,should be used,in the preface for the book.,No error,D
41,3.2,Preposition,Find the error. (Preposition),I study for,two hours every morning,before going,to college.,No error,E
42,3.2,Preposition,Find the error. (Preposition),People took notice of,the big stone on,the road only after,someone tripped with it.,No error,D
43,3.2,Preposition,Find the error. (Preposition),I have,thirty-eight arrowheads in my collection,but my sister has,beyond one hundred.,No error,D
44,3.2,Preposition,Find the error. (Preposition),Although the truck,was without brakes,the driver skillfully,guided it down through hill.,No error,D
45,3.2,Preposition,Find the error. (Preposition),The Earth can be divided,"to two parts,","or hemispheres, according to",meridians.,No error,B
46,3.2,Preposition,Find the error. (Preposition),To gild,China and Pottery,a paint is made with gold powder and is applied,with a brush.,No error,C
47,3.2,Preposition,Find the error. (Preposition),When your father inquired,about your marks,"you lied to him,",didn’t you?,No error,E
48,3.2,Preposition,Find the error. (Preposition),A nationwide survey has,brought up an,interesting finding regarding,infant mortally rate in India.,No error,B
49,3.2,Preposition,Find the error. (Preposition),Our Housing Society comprises of,eight blocks and,forty eight flats in an,area of about thousand sq. metres.,No error,A
50,3.2,Preposition,Find the error. (Preposition),It being a,pleasant morning I,decided to go out,on walking in the garden.,No error,D
51,3.2,Preposition,Find the error. (Preposition),The officer alongwith,his family members was,invited at the reception party,organised by his employers.,No error,C
52,3.2,Preposition,Find the error. (Preposition),On the time of,the launching of,"the projects, a large",crowd had assembled.,No error,A
53,3.2,Preposition,Find the error. (Preposition),Ram is accustomed with,sufferings and hard work,as he has to,support a big family.,No error,A
54,3.2,Preposition,Find the error. (Preposition),It is said that,Sohan has been,suffering from fever,since last ten days.,No error,D
55,3.2,Preposition,Find the error. (Preposition),You would have certainly,completed the work in,the allotted time,had you planned it properly.,No error,B
56,3.2,Preposition,Find the error. (Preposition),When the last match,in two countries,began it was,a bright sunny morning.,No error,B
